TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
MICEXINDEXCF,2014-05-22,1440.79,1446.72,1420.49,1430.54,,
MICEXINDEXCF,2014-05-23,1430.54,1440.8,1422.07,1438.98,,
MICEXINDEXCF,2014-05-26,1439.15,1456.7,1438.31,1449.36,,
MICEXINDEXCF,2014-05-27,1449.38,1449.57,1410.07,1417.32,,
MICEXINDEXCF,2014-05-28,1417.38,1429.84,1408.77,1425.95,,
MICEXINDEXCF,2014-05-29,1426.69,1449.63,1426.69,1447.39,,
MICEXINDEXCF,2014-05-30,1447.76,1450.76,1432.03,1432.03,,
MICEXINDEXCF,2014-06-02,1432.67,1475.11,1432.67,1464.47,,
MICEXINDEXCF,2014-06-03,1463.62,1472.83,1449.78,1472.83,,
MICEXINDEXCF,2014-06-04,1472.06,1482.68,1466.02,1475.79,,
MICEXINDEXCF,2014-06-05,1476.06,1483.88,1465.87,1470.7,,
MICEXINDEXCF,2014-06-06,1470.73,1486.59,1457.67,1484.94,,
MICEXINDEXCF,2014-06-09,1485.27,1497.96,1484.27,1485.39,,
MICEXINDEXCF,2014-06-10,1485.24,1490.81,1475.97,1490.81,,
MICEXINDEXCF,2014-06-11,1490.8,1501.18,1487.42,1501.18,,
MICEXINDEXCF,2014-06-16,1501.17,1501.17,1467.09,1493.93,,
MICEXINDEXCF,2014-06-17,1494.08,1501.62,1479.97,1486.38,,
MICEXINDEXCF,2014-06-18,1486.47,1500.39,1484.51,1494.28,,
MICEXINDEXCF,2014-06-19,1494.99,1508.95,1493.52,1495.09,,
MICEXINDEXCF,2014-06-20,1494.87,1496,1480.97,1486.3,,
MICEXINDEXCF,2014-06-23,1486.33,1498.9,1478.63,1486.3,,
MICEXINDEXCF,2014-06-24,1487.1,1519.09,1487.1,1518.83,,
MICEXINDEXCF,2014-06-25,1517.62,1517.62,1479.28,1481.95,,
MICEXINDEXCF,2014-06-26,1482.13,1489.68,1465.15,1473.18,,
MICEXINDEXCF,2014-06-27,1473.31,1481.29,1467.94,1477.32,,
MICEXINDEXCF,2014-06-30,1477.29,1478.43,1460.38,1476.38,,
MICEXINDEXCF,2014-07-01,1476.28,1483.23,1461.45,1482.92,,
MICEXINDEXCF,2014-07-02,1482.91,1514.33,1482.84,1514.33,,
MICEXINDEXCF,2014-07-03,1514.66,1522.21,1510.66,1514.47,,
MICEXINDEXCF,2014-07-04,1515.53,1516.36,1485.52,1489.53,,
MICEXINDEXCF,2014-07-07,1489.55,1518.05,1484.27,1513.72,,
MICEXINDEXCF,2014-07-08,1513.76,1532.08,1512.68,1516.75,,
MICEXINDEXCF,2014-07-09,1516.29,1518.6,1496.79,1513.38,,
MICEXINDEXCF,2014-07-10,1513.37,1521.88,1480.26,1494.92,,
MICEXINDEXCF,2014-07-11,1495.01,1502.23,1488.84,1499.82,,
MICEXINDEXCF,2014-07-14,1500.29,1502.68,1482.63,1483.41,,
MICEXINDEXCF,2014-07-15,1482.23,1487.49,1471.95,1475.77,,
MICEXINDEXCF,2014-07-16,1475.68,1482.6,1459.08,1474.72,,
MICEXINDEXCF,2014-07-17,1470.83,1470.83,1429.08,1440.63,,
MICEXINDEXCF,2014-07-18,1440.54,1440.54,1410.48,1422.53,,
MICEXINDEXCF,2014-07-21,1422.53,1424.64,1384.5,1384.5,,
MICEXINDEXCF,2014-07-22,1386.14,1414.21,1386.14,1405.97,,
MICEXINDEXCF,2014-07-23,1406.5,1421.56,1395.74,1406.58,,
MICEXINDEXCF,2014-07-24,1405.58,1410.75,1394.04,1408.8,,
MICEXINDEXCF,2014-07-25,1408.19,1408.19,1386.14,1388.41,,
MICEXINDEXCF,2014-07-28,1387.12,1387.14,1357.03,1361.94,,
MICEXINDEXCF,2014-07-29,1361.22,1380.29,1356.62,1369.83,,
MICEXINDEXCF,2014-07-30,1368.72,1403.6,1359.65,1382.14,,
MICEXINDEXCF,2014-07-31,1383.04,1399.12,1376.48,1379.61,,
MICEXINDEXCF,2014-08-01,1378.03,1378.1,1358.11,1374.83,,
MICEXINDEXCF,2014-08-04,1375.73,1386.43,1365.01,1378.98,,
MICEXINDEXCF,2014-08-05,1379.5,1383.36,1356.2,1357.89,,
MICEXINDEXCF,2014-08-06,1357.33,1362.22,1333.37,1334.66,,
MICEXINDEXCF,2014-08-07,1333.39,1340.84,1306.8,1333.53,,
MICEXINDEXCF,2014-08-08,1332.26,1360.49,1329.1,1348.21,,
MICEXINDEXCF,2014-08-11,1350.42,1379.22,1350.42,1372.45,,
MICEXINDEXCF,2014-08-12,1372.94,1386.2,1368.1,1374.19,,
MICEXINDEXCF,2014-08-13,1373.64,1402.38,1373.27,1398.85,,
MICEXINDEXCF,2014-08-14,1399.07,1412.88,1391.65,1407.53,,
MICEXINDEXCF,2014-08-15,1407.57,1425.76,1400.7,1417.82,,
MICEXINDEXCF,2014-08-18,1418.05,1427.95,1415.35,1425.18,,
MICEXINDEXCF,2014-08-19,1425.18,1441.42,1425.18,1437.6,,
MICEXINDEXCF,2014-08-20,1437.58,1447.5,1432.63,1447.5,,
MICEXINDEXCF,2014-08-21,1447.12,1469.44,1445.48,1461.75,,
MICEXINDEXCF,2014-08-22,1461.79,1463.71,1434.09,1446.6,,
MICEXINDEXCF,2014-08-25,1446.86,1456.72,1446.09,1454.67,,
MICEXINDEXCF,2014-08-26,1454.47,1460,1441.42,1443.32,,
MICEXINDEXCF,2014-08-27,1444.28,1454.96,1444.28,1447.91,,
MICEXINDEXCF,2014-08-28,1447.54,1447.76,1414.18,1423.78,,
MICEXINDEXCF,2014-08-29,1423.56,1428.72,1400.44,1400.71,,
MICEXINDEXCF,2014-09-01,1401.34,1419.9,1389.77,1392.4,,
MICEXINDEXCF,2014-09-02,1392.27,1401.68,1386.31,1400.35,,
MICEXINDEXCF,2014-09-03,1400.44,1452.92,1400.44,1449.29,,
MICEXINDEXCF,2014-09-04,1449.51,1462.03,1439.38,1457.34,,
MICEXINDEXCF,2014-09-05,1456,1481.15,1446.95,1474.71,,
MICEXINDEXCF,2014-09-08,1474.38,1478.26,1460.85,1464.76,,
MICEXINDEXCF,2014-09-09,1465.13,1479.64,1465.13,1468.17,,
MICEXINDEXCF,2014-09-10,1466.99,1472.23,1456.21,1468.55,,
MICEXINDEXCF,2014-09-11,1469.4,1479.05,1449.1,1449.63,,
MICEXINDEXCF,2014-09-12,1449.4,1470.49,1440.23,1458.52,,
MICEXINDEXCF,2014-09-15,1457.87,1466.43,1441.26,1454.19,,
MICEXINDEXCF,2014-09-16,1454.13,1483.66,1451.21,1477.31,,
MICEXINDEXCF,2014-09-17,1477.09,1477.09,1437.73,1449.37,,
MICEXINDEXCF,2014-09-18,1449.37,1460.13,1443.75,1448.63,,
MICEXINDEXCF,2014-09-19,1448.19,1454.16,1423.44,1431.58,,
MICEXINDEXCF,2014-09-22,1431.12,1436.21,1412.83,1412.83,,
MICEXINDEXCF,2014-09-23,1413.57,1432.37,1413.49,1429.45,,
MICEXINDEXCF,2014-09-24,1429.97,1447.44,1429.97,1441.83,,
MICEXINDEXCF,2014-09-25,1443.03,1454.26,1435.31,1436.05,,
MICEXINDEXCF,2014-09-26,1435.09,1440.87,1424.43,1434.2,,
MICEXINDEXCF,2014-09-29,1434.99,1444.93,1405.94,1408.28,,
MICEXINDEXCF,2014-09-30,1409.07,1428.09,1402.3,1411.07,,
MICEXINDEXCF,2014-10-01,1410.33,1421.66,1399.61,1399.99,,
MICEXINDEXCF,2014-10-02,1399.21,1400.79,1372.43,1376.35,,
MICEXINDEXCF,2014-10-03,1377.65,1397.2,1375.66,1384.66,,
MICEXINDEXCF,2014-10-06,1385.97,1424.35,1385.95,1418.15,,
MICEXINDEXCF,2014-10-07,1418.15,1421.85,1399.51,1403.48,,
MICEXINDEXCF,2014-10-08,1403.56,1403.56,1379.76,1379.76,,
MICEXINDEXCF,2014-10-09,1379.89,1405.38,1379.89,1384.33,,
MICEXINDEXCF,2014-10-10,1382.17,1382.17,1359.4,1364.24,,
MICEXINDEXCF,2014-10-13,1364.11,1393.63,1358.01,1383.93,,
MICEXINDEXCF,2014-10-14,1383.69,1408.56,1383.63,1394.16,,
MICEXINDEXCF,2014-10-15,1393.66,1394.83,1374.51,1377.09,,
MICEXINDEXCF,2014-10-16,1377.43,1393.4,1354.6,1360.33,,
MICEXINDEXCF,2014-10-17,1362.06,1391.07,1362.06,1384.72,,
MICEXINDEXCF,2014-10-20,1385.26,1395.92,1369.98,1376.36,,
MICEXINDEXCF,2014-10-21,1375.82,1389.82,1361.53,1383.35,,
MICEXINDEXCF,2014-10-22,1384.16,1392.42,1371.38,1374.19,,
MICEXINDEXCF,2014-10-23,1373.43,1377.96,1355.24,1372.92,,
MICEXINDEXCF,2014-10-24,1372.4,1381.83,1363.55,1380.39,,
MICEXINDEXCF,2014-10-27,1381.95,1404.07,1381.95,1394.27,,
MICEXINDEXCF,2014-10-28,1394.75,1422.75,1394.24,1415.51,,
MICEXINDEXCF,2014-10-29,1415.53,1441.98,1411,1439.58,,
MICEXINDEXCF,2014-10-30,1438.8,1456.88,1428.36,1452.89,,
MICEXINDEXCF,2014-10-31,1453.89,1488.47,1453.89,1488.47,,
MICEXINDEXCF,2014-11-03,1488.15,1495.86,1477.06,1491.19,,
MICEXINDEXCF,2014-11-05,1490.66,1496.19,1471.25,1495.26,,
MICEXINDEXCF,2014-11-06,1495.47,1521.14,1490.66,1497.46,,
MICEXINDEXCF,2014-11-07,1496.51,1526.08,1486.37,1497.11,,
MICEXINDEXCF,2014-11-10,1498.62,1518.73,1498.59,1515.36,,
MICEXINDEXCF,2014-11-11,1515.08,1531.92,1511.53,1514.78,,
MICEXINDEXCF,2014-11-12,1514.85,1524.72,1507.45,1513.83,,
MICEXINDEXCF,2014-11-13,1514.19,1522.87,1492.27,1492.27,,
MICEXINDEXCF,2014-11-14,1491.75,1507.93,1481.97,1500.76,,
MICEXINDEXCF,2014-11-17,1500.69,1512.61,1494.81,1507.1,,
MICEXINDEXCF,2014-11-18,1506.78,1524.8,1495.09,1519.61,,
MICEXINDEXCF,2014-11-19,1519.69,1524.1,1513.68,1517.97,,
MICEXINDEXCF,2014-11-20,1518.1,1535.97,1517.28,1530.4,,
